dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,class
246.0,3.0,0.0,9.0,6.0,0.0,0.0,0.0,1.0,0.64,0.5758,0.84,0.2239,3.0
633.0,4.0,1.0,9.0,6.0,0.0,2.0,1.0,1.0,0.44,0.4394,0.77,0.2239,189.0
428.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,2.0,0.34,0.3182,0.46,0.2239,5.0
97.0,2.0,0.0,4.0,8.0,0.0,5.0,1.0,3.0,0.34,0.3333,0.87,0.1642,208.0
696.0,4.0,1.0,11.0,20.0,0.0,2.0,1.0,1.0,0.26,0.2273,0.75,0.3284,228.0
87.0,2.0,0.0,3.0,4.0,0.0,2.0,1.0,1.0,0.2,0.2121,0.44,0.1642,1.0
320.0,4.0,0.0,11.0,18.0,0.0,4.0,1.0,1.0,0.32,0.3182,0.39,0.194,298.0
11.0,1.0,0.0,1.0,23.0,0.0,3.0,1.0,1.0,0.14,0.1061,0.59,0.4179,19.0
663.0,4.0,1.0,10.0,11.0,0.0,4.0,1.0,2.0,0.54,0.5152,0.83,0.1045,181.0
538.0,3.0,1.0,6.0,1.0,0.0,5.0,1.0,1.0,0.76,0.7424,0.75,0.1642,28.0
543.0,3.0,1.0,6.0,12.0,0.0,3.0,1.0,1.0,0.76,0.6667,0.29,0.2985,245.0
41.0,1.0,0.0,2.0,13.0,0.0,5.0,1.0,1.0,0.24,0.2273,0.35,0.194,89.0
631.0,4.0,1.0,9.0,4.0,0.0,0.0,0.0,1.0,0.46,0.4545,0.55,0.2239,9.0
537.0,3.0,1.0,6.0,2.0,0.0,4.0,1.0,1.0,0.72,0.6970000000000001,0.79,0.1045,7.0
327.0,4.0,0.0,11.0,0.0,1.0,4.0,0.0,1.0,0.32,0.303,0.57,0.2239,22.0
317.0,4.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,0.46,0.4545,0.63,0.2985,6.0
311.0,4.0,0.0,11.0,9.0,0.0,2.0,1.0,1.0,0.36,0.3788,0.87,0.0,177.0
370.0,1.0,1.0,1.0,4.0,0.0,5.0,1.0,1.0,0.22,0.2273,0.69,0.1343,3.0
198.0,3.0,0.0,7.0,9.0,0.0,1.0,1.0,1.0,0.74,0.6970000000000001,0.67,0.2239,170.0
245.0,3.0,0.0,9.0,15.0,0.0,6.0,0.0,1.0,0.72,0.6818,0.7,0.1642,201.0
535.0,2.0,1.0,6.0,3.0,0.0,2.0,1.0,2.0,0.6,0.5758,0.78,0.1045,7.0
566.0,3.0,1.0,7.0,9.0,0.0,5.0,1.0,2.0,0.7,0.6667,0.79,0.1343,328.0
152.0,2.0,0.0,6.0,13.0,0.0,4.0,1.0,1.0,0.8,0.6818,0.24,0.3582,168.0
562.0,3.0,1.0,7.0,9.0,0.0,1.0,1.0,1.0,0.76,0.7121,0.62,0.1642,297.0
291.0,4.0,0.0,10.0,17.0,0.0,3.0,1.0,3.0,0.56,0.5303,0.94,0.1642,170.0
430.0,1.0,1.0,3.0,21.0,0.0,2.0,1.0,1.0,0.32,0.3182,0.49,0.194,143.0
175.0,3.0,0.0,6.0,13.0,0.0,6.0,0.0,1.0,0.74,0.6515,0.4,0.2836,231.0
286.0,4.0,0.0,10.0,3.0,0.0,5.0,1.0,1.0,0.56,0.5303,0.94,0.1343,6.0
237.0,3.0,0.0,8.0,22.0,0.0,5.0,1.0,1.0,0.72,0.6970000000000001,0.79,0.1045,126.0
428.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,0.34,0.3333,0.46,0.194,11.0
545.0,3.0,1.0,6.0,10.0,0.0,5.0,1.0,1.0,0.9,0.8333,0.39,0.2985,139.0
709.0,4.0,1.0,12.0,9.0,0.0,1.0,1.0,2.0,0.42,0.4242,1.0,0.2239,273.0
109.0,2.0,0.0,4.0,11.0,0.0,3.0,1.0,1.0,0.62,0.6061,0.69,0.0896,87.0
57.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.28,0.303,0.87,0.0896,42.0
554.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.82,0.7879,0.56,0.1343,125.0
641.0,4.0,1.0,10.0,13.0,0.0,3.0,1.0,2.0,0.7,0.6667,0.74,0.1045,224.0
