vendor,model,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,class
16,101,1100,512,1500,0,1,1,7
25,186,70,4000,12000,8,6,8,75
9,53,110,1000,4000,16,1,2,26
17,129,50,8000,16000,48,1,10,136
12,63,75,2000,16000,64,1,38,144
16,104,400,2000,4000,0,1,1,32
15,83,330,1000,4000,0,3,6,22
22,171,200,2000,8000,64,1,5,41
14,78,180,768,12000,6,1,31,84
20,144,60,2000,16000,64,5,8,74
28,206,480,512,8000,32,0,0,67
11,61,125,512,1000,0,8,20,36
21,163,56,4000,16000,0,1,8,46
6,29,25,1310,2620,131,12,24,274
16,94,26,16000,32000,64,16,24,465
0,8,23,32000,64000,128,32,64,1144
28,207,480,1000,4000,0,0,0,45
21,167,38,8000,24000,160,4,8,140
26,192,116,2000,8000,32,5,28,70
16,114,185,2000,16000,16,1,6,76
20,139,92,2000,8000,32,1,6,62
6,33,56,5240,20970,30,12,24,106
5,28,320,256,5000,4,1,6,27
4,18,110,5000,5000,142,8,64,120
6,32,50,2620,10480,30,12,24,63
0,1,29,8000,32000,32,8,32,220
27,205,125,2000,8000,0,2,14,52
5,27,320,512,5000,4,1,5,77
13,66,105,256,2000,0,3,10,26
4,20,143,3100,6200,0,5,20,33
13,67,105,1000,4000,0,3,24,32
21,160,56,2000,8000,0,1,8,24
22,169,200,1000,2000,0,1,2,25
5,24,320,512,2000,4,1,3,69
26,195,50,2000,32000,112,52,104,307
0,2,29,8000,32000,32,8,32,172
26,201,180,262,4000,0,1,3,18
16,97,26,8000,16000,0,8,16,185
23,173,250,512,4000,0,4,7,50
24,175,160,512,4000,2,1,5,30
26,200,180,512,4000,0,1,3,14
7,38,50,1000,4000,8,3,5,26
25,181,240,512,2000,8,1,5,11
14,75,300,768,4500,0,1,24,45
16,98,480,96,512,0,1,1,6
21,168,38,4000,16000,128,16,32,212
14,74,300,768,12000,6,6,24,50
15,87,140,2000,32000,32,1,20,134
14,72,300,768,3000,0,6,24,36
3,13,350,64,64,0,1,4,10
20,155,30,16000,32000,256,16,24,510
12,62,75,2000,8000,64,1,38,144
8,47,320,512,8000,4,1,5,40
15,90,140,2000,32000,32,1,54,189
25,184,105,2000,8000,16,4,14,58
17,125,50,2000,8000,8,3,6,45
16,122,1500,768,2000,0,0,0,18
16,100,115,512,6000,16,1,6,45
15,91,140,2000,4000,8,1,20,22
21,164,38,4000,8000,32,16,32,51
16,102,1100,768,2000,0,1,1,13
25,190,26,8000,32000,64,12,16,248
8,43,133,1000,12000,9,3,12,72
21,158,56,1000,4000,0,1,6,17
4,16,143,512,5000,0,7,32,28
24,178,160,1000,8000,16,1,14,60
15,89,140,2000,32000,32,1,54,141
8,46,810,1000,5000,0,1,1,20
16,112,225,2000,4000,8,3,6,34
6,36,50,1000,4000,8,1,5,29
15,88,140,2000,8000,32,1,54,66
0,0,29,8000,32000,32,8,32,269
16,118,25,2000,12000,16,3,5,66
21,165,38,4000,8000,32,16,32,116
25,191,26,8000,32000,128,24,32,405
8,44,133,1000,8000,9,3,12,72
7,39,50,1000,8000,8,3,5,36
3,14,200,512,16000,0,4,32,35
17,126,50,2000,8000,8,1,6,56
9,50,700,256,2000,0,1,1,24
16,108,900,1000,4000,4,1,2,18
4,15,167,524,2000,8,4,15,19
20,138,115,2000,4000,2,1,5,40
14,77,300,192,768,6,6,24,36
15,81,300,1000,16000,8,2,112,38
20,151,35,8000,32000,64,8,24,370
23,174,250,1000,16000,1,1,8,50
15,84,140,2000,4000,0,3,6,29
9,54,110,1000,12000,16,1,2,60
7,41,50,2000,16000,8,3,6,52
13,70,75,3000,8000,8,3,48,64
26,194,50,2000,32000,48,26,52,208
1,9,400,1000,3000,0,1,2,38
25,187,59,4000,12000,32,6,12,113
4,17,143,1000,2000,0,5,16,31
16,119,17,4000,16000,8,6,12,100
21,157,84,1000,2000,0,1,6,12
0,3,29,8000,16000,32,8,16,132
0,6,23,16000,32000,64,16,32,489
13,69,75,2000,8000,8,3,24,62
9,51,140,1000,16000,16,1,3,138
26,193,50,2000,32000,24,6,26,114
18,132,100,1000,8000,24,3,6,32
26,199,180,262,4000,0,1,3,12
13,71,175,256,2000,0,3,24,22
10,58,800,256,8000,0,1,4,20
18,133,50,2000,16000,12,3,16,45
20,143,60,4000,16000,32,1,6,86
24,177,160,1000,4000,8,1,14,38
5,25,320,256,6000,0,1,6,33
10,57,800,256,8000,0,1,4,14
16,92,57,4000,16000,1,6,12,132
21,166,38,8000,16000,64,4,8,100
16,116,225,1000,4000,2,3,6,24
25,188,59,8000,16000,64,12,24,188
16,113,180,2000,8000,8,1,6,50
20,140,92,2000,8000,32,1,6,60
6,35,50,500,2000,8,1,4,20
16,99,203,1000,2000,0,1,5,24
16,110,900,2000,4000,0,3,6,37
25,183,105,2000,6000,16,6,16,33
5,26,320,256,3000,4,1,3,27
14,76,300,384,12000,6,1,24,53
2,12,50,4000,16000,65,1,8,138
8,48,200,512,8000,8,1,8,62
21,161,56,4000,8000,0,1,8,34
20,149,40,8000,16000,32,8,16,214
16,117,25,2000,12000,8,1,4,49
16,93,57,4000,24000,64,12,16,237
17,124,50,2000,4000,0,3,6,27
5,23,320,128,6000,0,1,12,23
0,7,23,16000,64000,64,16,32,636
20,145,60,4000,16000,64,5,8,93
16,123,800,768,2000,0,0,0,20
21,156,112,1000,1000,0,1,4,8
18,134,50,2000,16000,24,6,16,54
6,30,25,1310,2620,131,12,24,368
22,170,200,1000,4000,0,1,4,30
26,197,30,8000,64000,96,12,176,915
