vendor,model,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,class
16,117,25,2000,12000,8,1,4,49
16,97,26,8000,16000,0,8,16,185
5,24,320,512,2000,4,1,3,69
0,5,23,16000,32000,64,16,32,367
13,66,105,256,2000,0,3,10,26
15,79,330,1000,3000,0,2,4,16
20,152,38,16000,32000,128,16,32,510
5,26,320,256,3000,4,1,3,27
16,103,600,768,2000,0,1,1,16
27,205,125,2000,8000,0,2,14,52
16,100,115,512,6000,16,1,6,45
7,39,50,1000,8000,8,3,5,36
12,63,75,2000,16000,64,1,38,144
15,84,140,2000,4000,0,3,6,29
16,105,400,4000,8000,0,1,1,32
16,118,25,2000,12000,16,3,5,66
5,25,320,256,6000,0,1,6,33
18,134,50,2000,16000,24,6,16,54
11,61,125,512,1000,0,8,20,36
21,163,56,4000,16000,0,1,8,46
20,142,75,4000,16000,16,1,6,66
26,196,50,4000,32000,112,52,104,397
17,124,50,2000,4000,0,3,6,27
20,147,72,4000,16000,64,8,16,143
26,198,30,8000,64000,128,12,176,1150
22,171,200,2000,8000,64,1,5,41
9,53,110,1000,4000,16,1,2,26
22,170,200,1000,4000,0,1,4,30
10,56,800,256,8000,0,1,4,12
8,46,810,1000,5000,0,1,1,20
10,59,800,256,8000,0,1,4,16
16,101,1100,512,1500,0,1,1,7
6,29,25,1310,2620,131,12,24,274
15,83,330,1000,4000,0,3,6,22
20,153,48,4000,24000,32,8,24,214
4,18,110,5000,5000,142,8,64,120
17,128,50,2000,16000,24,1,6,80
28,206,480,512,8000,32,0,0,67
6,32,50,2620,10480,30,12,24,63
16,102,1100,768,2000,0,1,1,13
9,52,200,1000,8000,0,1,2,36
17,127,50,2000,16000,24,1,6,70
14,77,300,192,768,6,6,24,36
19,136,150,512,4000,0,8,128,30
15,90,140,2000,32000,32,1,54,189
13,69,75,2000,8000,8,3,24,62
18,133,50,2000,16000,12,3,16,45
26,201,180,262,4000,0,1,3,18
15,81,300,1000,16000,8,2,112,38
20,145,60,4000,16000,64,5,8,93
16,106,900,1000,1000,0,1,2,11
23,172,250,512,4000,0,1,7,25
4,16,143,512,5000,0,7,32,28
8,45,810,512,512,8,1,1,18
25,185,52,4000,16000,32,4,12,130
26,194,50,2000,32000,48,26,52,208
7,40,50,2000,16000,8,3,5,40
16,123,800,768,2000,0,0,0,20
20,140,92,2000,8000,32,1,6,60
21,161,56,4000,8000,0,1,8,34
16,112,225,2000,4000,8,3,6,34
8,44,133,1000,8000,9,3,12,72
18,130,100,1000,8000,0,2,6,16
17,125,50,2000,8000,8,3,6,45
18,132,100,1000,8000,24,3,6,32
0,8,23,32000,64000,128,32,64,1144
21,162,56,4000,12000,0,1,8,42
20,149,40,8000,16000,32,8,16,214
25,183,105,2000,6000,16,6,16,33
12,62,75,2000,8000,64,1,38,144
4,15,167,524,2000,8,4,15,19
0,1,29,8000,32000,32,8,32,220
0,6,23,16000,32000,64,16,32,489
20,155,30,16000,32000,256,16,24,510
18,131,100,1000,8000,24,2,6,26
8,47,320,512,8000,4,1,5,40
26,202,180,512,4000,0,1,3,21
25,184,105,2000,8000,16,4,14,58
21,158,56,1000,4000,0,1,6,17
8,43,133,1000,12000,9,3,12,72
25,182,105,2000,4000,8,3,8,22
6,37,50,2000,8000,8,1,5,71
26,192,116,2000,8000,32,5,28,70
26,193,50,2000,32000,24,6,26,114
21,160,56,2000,8000,0,1,8,24
6,36,50,1000,4000,8,1,5,29
24,177,160,1000,4000,8,1,14,38
16,93,57,4000,24000,64,12,16,237
6,31,50,2620,10480,30,12,24,32
16,104,400,2000,4000,0,1,1,32
26,204,98,1000,8000,32,2,8,46
15,91,140,2000,4000,8,1,20,22
7,42,50,2000,16000,8,3,6,60
20,137,115,2000,8000,16,1,3,50
13,68,105,2000,4000,8,3,19,32
16,98,480,96,512,0,1,1,6
13,71,175,256,2000,0,3,24,22
26,199,180,262,4000,0,1,3,12
16,92,57,4000,16000,1,6,12,132
28,207,480,1000,4000,0,0,0,45
21,166,38,8000,16000,64,4,8,100
26,200,180,512,4000,0,1,3,14
16,119,17,4000,16000,8,6,12,100
20,154,38,8000,32000,64,8,24,326
14,72,300,768,3000,0,6,24,36
25,186,70,4000,12000,8,6,8,75
16,108,900,1000,4000,4,1,2,18
16,109,900,1000,4000,8,1,2,22
1,10,400,512,3500,4,1,6,40
0,3,29,8000,16000,32,8,16,132
4,22,110,3100,6200,0,6,64,76
2,12,50,4000,16000,65,1,8,138
20,138,115,2000,4000,2,1,5,40
9,55,220,1000,8000,16,1,2,71
22,169,200,1000,2000,0,1,2,25
10,60,800,256,8000,0,1,4,22
7,41,50,2000,16000,8,3,6,52
14,76,300,384,12000,6,1,24,53
16,114,185,2000,16000,16,1,6,76
25,181,240,512,2000,8,1,5,11
16,107,900,512,1000,0,1,2,11
25,190,26,8000,32000,64,12,16,248
16,99,203,1000,2000,0,1,5,24
16,122,1500,768,2000,0,0,0,18
16,113,180,2000,8000,8,1,6,50
24,175,160,512,4000,2,1,5,30
17,126,50,2000,8000,8,1,6,56
4,21,143,2300,6200,0,6,64,61
1,9,400,1000,3000,0,1,2,38
13,70,75,3000,8000,8,3,48,64
3,13,350,64,64,0,1,4,10
20,148,72,2000,8000,16,6,8,105
20,144,60,2000,16000,64,5,8,74
15,80,300,1000,4000,8,3,64,38
25,188,59,8000,16000,64,12,24,188
16,95,26,16000,32000,64,8,24,465
24,176,160,512,2000,2,3,8,32
21,156,112,1000,1000,0,1,4,8
6,33,56,5240,20970,30,12,24,106
