vendor,model,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,class
14,76,300,384,12000,6,1,24,53
21,164,38,4000,8000,32,16,32,51
16,92,57,4000,16000,1,6,12,132
20,143,60,4000,16000,32,1,6,86
18,132,100,1000,8000,24,3,6,32
16,112,225,2000,4000,8,3,6,34
21,160,56,2000,8000,0,1,8,24
16,121,1500,768,1000,0,0,0,12
20,137,115,2000,8000,16,1,3,50
6,30,25,1310,2620,131,12,24,368
16,119,17,4000,16000,8,6,12,100
6,33,56,5240,20970,30,12,24,106
7,42,50,2000,16000,8,3,6,60
25,186,70,4000,12000,8,6,8,75
25,188,59,8000,16000,64,12,24,188
6,29,25,1310,2620,131,12,24,274
4,18,110,5000,5000,142,8,64,120
7,41,50,2000,16000,8,3,6,52
24,175,160,512,4000,2,1,5,30
3,13,350,64,64,0,1,4,10
15,86,140,2000,4000,8,1,20,35
15,84,140,2000,4000,0,3,6,29
16,106,900,1000,1000,0,1,2,11
15,83,330,1000,4000,0,3,6,22
20,153,48,4000,24000,32,8,24,214
17,124,50,2000,4000,0,3,6,27
16,98,480,96,512,0,1,1,6
9,54,110,1000,12000,16,1,2,60
26,198,30,8000,64000,128,12,176,1150
20,139,92,2000,8000,32,1,6,62
16,123,800,768,2000,0,0,0,20
25,183,105,2000,6000,16,6,16,33
16,120,17,4000,16000,32,6,12,133
0,3,29,8000,16000,32,8,16,132
23,174,250,1000,16000,1,1,8,50
21,166,38,8000,16000,64,4,8,100
25,180,240,512,1000,8,1,3,6
22,171,200,2000,8000,64,1,5,41
14,73,300,768,3000,6,6,24,44
26,195,50,2000,32000,112,52,104,307
17,128,50,2000,16000,24,1,6,80
16,105,400,4000,8000,0,1,1,32
12,62,75,2000,8000,64,1,38,144
22,169,200,1000,2000,0,1,2,25
26,201,180,262,4000,0,1,3,18
15,82,330,1000,2000,0,1,2,16
8,47,320,512,8000,4,1,5,40
15,85,140,2000,4000,0,4,8,40
0,4,26,8000,32000,64,8,32,318
20,150,40,8000,32000,64,8,24,277
14,72,300,768,3000,0,6,24,36
9,50,700,256,2000,0,1,1,24
1,9,400,1000,3000,0,1,2,38
5,28,320,256,5000,4,1,6,27
6,35,50,500,2000,8,1,4,20
20,146,50,4000,16000,64,5,10,111
15,87,140,2000,32000,32,1,20,134
10,57,800,256,8000,0,1,4,14
16,96,26,8000,32000,0,8,24,277
21,167,38,8000,24000,160,4,8,140
25,189,26,8000,24000,32,8,16,173
22,170,200,1000,4000,0,1,4,30
16,117,25,2000,12000,8,1,4,49
9,51,140,1000,16000,16,1,3,138
16,103,600,768,2000,0,1,1,16
5,23,320,128,6000,0,1,12,23
21,165,38,4000,8000,32,16,32,116
19,136,150,512,4000,0,8,128,30
17,125,50,2000,8000,8,3,6,45
1,10,400,512,3500,4,1,6,40
0,0,29,8000,32000,32,8,32,269
25,187,59,4000,12000,32,6,12,113
26,194,50,2000,32000,48,26,52,208
18,130,100,1000,8000,0,2,6,16
15,90,140,2000,32000,32,1,54,189
24,178,160,1000,8000,16,1,14,60
9,53,110,1000,4000,16,1,2,26
16,104,400,2000,4000,0,1,1,32
10,59,800,256,8000,0,1,4,16
26,202,180,512,4000,0,1,3,21
16,95,26,16000,32000,64,8,24,465
25,185,52,4000,16000,32,4,12,130
5,25,320,256,6000,0,1,6,33
17,129,50,8000,16000,48,1,10,136
9,55,220,1000,8000,16,1,2,71
20,142,75,4000,16000,16,1,6,66
16,102,1100,768,2000,0,1,1,13
13,67,105,1000,4000,0,3,24,32
20,152,38,16000,32000,128,16,32,510
21,163,56,4000,16000,0,1,8,46
0,2,29,8000,32000,32,8,32,172
24,177,160,1000,4000,8,1,14,38
20,138,115,2000,4000,2,1,5,40
21,157,84,1000,2000,0,1,6,12
20,155,30,16000,32000,256,16,24,510
20,148,72,2000,8000,16,6,8,105
21,158,56,1000,4000,0,1,6,17
26,203,124,1000,8000,0,1,8,42
15,89,140,2000,32000,32,1,54,141
20,144,60,2000,16000,64,5,8,74
8,45,810,512,512,8,1,1,18
26,199,180,262,4000,0,1,3,12
6,32,50,2620,10480,30,12,24,63
5,26,320,256,3000,4,1,3,27
6,31,50,2620,10480,30,12,24,32
12,64,75,2000,16000,128,1,38,259
14,77,300,192,768,6,6,24,36
13,69,75,2000,8000,8,3,24,62
15,88,140,2000,8000,32,1,54,66
6,34,64,5240,20970,30,12,24,208
10,58,800,256,8000,0,1,4,20
4,16,143,512,5000,0,7,32,28
15,79,330,1000,3000,0,2,4,16
0,5,23,16000,32000,64,16,32,367
21,159,56,2000,6000,0,1,8,21
15,91,140,2000,4000,8,1,20,22
18,133,50,2000,16000,12,3,16,45
8,48,200,512,8000,8,1,8,62
25,184,105,2000,8000,16,4,14,58
16,93,57,4000,24000,64,12,16,237
7,40,50,2000,16000,8,3,5,40
4,22,110,3100,6200,0,6,64,76
14,75,300,768,4500,0,1,24,45
15,80,300,1000,4000,8,3,64,38
20,154,38,8000,32000,64,8,24,326
4,21,143,2300,6200,0,6,64,61
24,179,160,2000,8000,32,1,13,109
16,114,185,2000,16000,16,1,6,76
16,97,26,8000,16000,0,8,16,185
0,7,23,16000,64000,64,16,32,636
25,181,240,512,2000,8,1,5,11
0,8,23,32000,64000,128,32,64,1144
13,66,105,256,2000,0,3,10,26
21,161,56,4000,8000,0,1,8,34
26,196,50,4000,32000,112,52,104,397
17,126,50,2000,8000,8,1,6,56
16,108,900,1000,4000,4,1,2,18
16,107,900,512,1000,0,1,2,11
3,14,200,512,16000,0,4,32,35
