dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,class
213.0,3.0,0.0,8.0,9.0,0.0,2.0,1.0,1.0,0.78,0.6970000000000001,0.46,0.2985,213.0
186.0,3.0,0.0,7.0,1.0,0.0,3.0,1.0,1.0,0.7,0.6667,0.74,0.1343,15.0
604.0,3.0,1.0,8.0,2.0,0.0,1.0,1.0,1.0,0.62,0.5606,0.88,0.1343,8.0
156.0,2.0,0.0,6.0,12.0,0.0,1.0,1.0,1.0,0.76,0.6667,0.37,0.1642,153.0
467.0,2.0,1.0,4.0,21.0,0.0,4.0,1.0,1.0,0.42,0.4242,0.35,0.1343,187.0
600.0,3.0,1.0,8.0,16.0,0.0,4.0,1.0,1.0,0.76,0.6818,0.48,0.1642,465.0
136.0,2.0,0.0,5.0,23.0,0.0,2.0,1.0,2.0,0.54,0.5152,0.88,0.2537,56.0
356.0,1.0,0.0,12.0,7.0,0.0,5.0,1.0,1.0,0.38,0.3939,0.82,0.2239,92.0
206.0,3.0,0.0,7.0,1.0,0.0,2.0,1.0,1.0,0.7,0.6667,0.79,0.1045,12.0
566.0,3.0,1.0,7.0,4.0,0.0,5.0,1.0,2.0,0.66,0.5909,0.89,0.1642,9.0
423.0,1.0,1.0,2.0,8.0,0.0,2.0,1.0,1.0,0.26,0.2424,0.48,0.2836,559.0
365.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.28,0.2879,0.81,0.1045,5.0
601.0,3.0,1.0,8.0,23.0,0.0,5.0,1.0,2.0,0.68,0.6364,0.69,0.0896,178.0
300.0,4.0,0.0,10.0,20.0,0.0,5.0,1.0,3.0,0.34,0.3182,0.61,0.2239,143.0
631.0,4.0,1.0,9.0,4.0,0.0,0.0,0.0,1.0,0.46,0.4545,0.55,0.2239,10.0
142.0,2.0,0.0,5.0,22.0,0.0,1.0,1.0,1.0,0.62,0.5455,0.94,0.2239,131.0
292.0,4.0,0.0,10.0,13.0,0.0,4.0,1.0,1.0,0.5,0.4848,0.45,0.5821,164.0
457.0,2.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,0.4,0.4091,0.76,0.4925,4.0
